id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Zdeno Chara,BOS,D,42,1977-03-18,Trencin,-,SVK,-,81,250,1996,NYI,3,4,56
2,Joe Thornton,S.J,C,40,1979-07-02,London,-,CAN,-,76,220,1997,BOS,1,1,1
3,Patrick Marleau,S.J,C,40,1979-09-15,Aneroid,-,CAN,-,74,215,1997,S.J,1,2,2
4,Ron Hainsey,OTT,D,38,1981-03-24,Bolton,-,USA,-,75,201,2000,MTL,1,13,13
5,Deryk Engelland,VGK,D,37,1982-04-03,Edmonton,-,CAN,-,74,212,2000,N.J,6,27,194
6,Ilya Kovalchuk,L.A,L,36,1983-04-15,Tver,-,RUS,-,75,222,2001,ATL,1,1,1
7,Jason Spezza,TOR,C,36,1983-06-13,Toronto,-,CAN,-,75,216,2001,OTT,1,2,2
8,Mikko Koivu,MIN,C,36,1983-03-12,Turku,-,FIN,-,75,213,2001,MIN,1,6,6
9,Dan Hamhuis,NSH,D,36,1982-12-13,Smithers,-,CAN,-,73,204,2001,NSH,1,12,12
10,Valtteri Filppula,DET,C,35,1984-03-20,Vantaa,-,FIN,-,72,189,2002,DET,3,32,95
11,Trevor Daley,DET,D,36,1983-10-09,Toronto,-,CAN,-,71,199,2002,DAL,2,13,43
12,Frans Nielsen,DET,C,35,1984-04-24,Herning,-,DNK,-,73,186,2002,NYI,3,24,87
13,Jay Bouwmeester,STL,D,36,1983-09-27,Edmonton,-,CAN,-,76,206,2002,FLA,1,3,3
14,Johnny Boychuk,NYI,D,35,1984-01-19,Edmonton,-,CAN,-,74,227,2002,COL,2,31,61
15,Alexander Steen,STL,L,35,1984-03-01,Winnipeg,-,CAN,-,72,211,2002,TOR,1,24,24
16,Duncan Keith,CHI,D,36,1983-07-16,Winnipeg,-,CAN,-,73,192,2002,CHI,2,24,54
17,Jonathan Ericsson,DET,D,35,1984-03-02,Karlskrona,-,SWE,-,76,218,2002,DET,9,31,291
18,Eric Staal,MIN,C,35,1984-10-29,Thunder Bay,-,CAN,-,76,206,2003,CAR,1,2,2
19,Ryan Suter,MIN,D,34,1985-01-21,Madison,-,USA,-,74,206,2003,NSH,1,7,7
20,Braydon Coburn,T.B,D,34,1985-02-27,Shaunavon,-,CAN,-,77,223,2003,ATL,1,8,8
21,Jeff Carter,L.A,C,34,1985-01-01,London,-,CAN,-,75,219,2003,PHI,1,11,11
22,Dustin Brown,L.A,L,35,1984-11-04,Ithaca,-,USA,-,72,210,2003,L.A,1,13,13
23,Brent Seabrook,CHI,D,34,1985-04-20,Richmond,-,CAN,-,75,220,2003,CHI,1,14,14
24,Zach Parise,MIN,L,35,1984-07-28,Minneapolis,-,USA,-,71,195,2003,N.J,1,17,17
